Code,isolation_forest_flag,isolation_forest_score,lof_flag,lof_score,pca_reconstruction_flag,pca_reconstruction_error,robust_mad_flag,max_abs_robust_z,n_outlier_methods_flagged,consensus_outlier_flag_2plus
4690,0,-0.16082257042954778,0,0.9629266552720527,0,0.010787251820212854,0,0.6709999062632521,0,0
4790,0,-0.15466019874370007,0,0.9683547177086336,0,0.013094083712174942,0,1.3623194224187969,0,0
4794,0,-0.06750986631048372,0,1.224260629910797,0,0.05550351319559718,0,2.029700459868385,0,0
4928,0,-0.10064854529995682,0,1.0832206867284655,0,0.06377185827832459,0,2.355253430012051,0,0
4929,0,-0.1512640943597522,0,0.9670721881383036,0,0.020652600351285393,0,1.029475478332225,0,0
4931,0,-0.12381939425287836,0,1.0550225690471913,0,0.03436130716678784,0,1.6793588585491908,0,0
4936,0,-0.09553952023472434,0,1.1331607887044262,0,0.050605461272305086,0,2.230900575877947,0,0
4944,0,-0.0879237229378253,0,1.1781663686049912,0,0.11607919605796357,0,2.382005812357109,0,0
5216,0,-0.08020837726789715,0,1.3324202413848396,1,0.15486272922215194,1,6.2826577980858405,2,1
5383,0,-0.12251947913972,0,1.0334181232623454,0,0.030461527215278447,0,1.6408050433836763,0,0
5430,0,-0.09834147141804622,0,1.2485893179595586,0,0.07437499812752181,1,3.6610256315890637,1,0
5455,0,-0.09194626470853029,0,1.0888839924366112,0,0.010244203495319513,0,2.277805932436935,0,0
5543,0,-0.12394007847496286,0,1.034458132756449,0,0.04815383504521637,0,2.5873465612277116,0,0
5794,0,-0.12426112376134896,0,1.061411712577533,0,0.03548823130548645,0,2.1876855533026296,0,0
5853,0,-0.11680667995850402,0,1.1622384552688525,0,0.06649903657362215,0,1.8850462293350538,0,0
5859,0,-0.0945629059667491,0,1.266542563487873,0,0.014915325890068533,1,3.6287100729235333,1,0
6129,0,-0.06864997215642404,0,1.1121984278290338,0,0.021168467573151318,0,2.1020029020198003,0,0
6758,0,-0.0008643668039749475,0,1.2626864097302266,0,0.03470560586545742,1,4.508555822179295,1,0
6795,0,-0.0975435314548494,0,1.1257112910326101,0,0.027850159957252294,0,2.358077864395876,0,0
6805,0,-0.07995857230535547,0,1.1581044539699368,0,0.02525599027080804,0,2.770542554706429,0,0
7153,0,-0.14493225846153351,0,0.9750501252864616,0,0.026669810510591783,0,1.3364331997826269,0,0
7204,0,-0.12049158881772637,0,1.0839633384429976,0,0.022072395781985214,0,2.9923888350600683,0,0
7430,0,-0.08332190030419334,0,1.0668815702542411,0,0.013670685276678654,0,2.119614398254613,0,0
8594,0,-0.12102939560093656,0,1.0526499231896385,0,0.04977816020332675,0,1.7168904211439076,0,0
8606,0,-0.03951291085347075,0,0.995892250890341,0,0.0397074628940116,1,7.918176824435903,1,0
9411,0,-0.13620637526338264,0,1.006262557556973,0,0.025520052243303806,0,1.5334279450362691,0,0
9502,0,-0.11473839914242429,0,1.1116654690816563,0,0.04653532775330051,1,4.668725952486107,1,0
11442,0,-0.028955373406320817,0,1.1503748614738882,0,0.03887237994326563,1,4.4477044081067305,1,0
12901,0,-0.13202708084082532,0,1.0299803413616977,0,0.01817161487146553,0,1.4987609285704309,0,0
12932,0,-0.11199934702670378,0,1.1260039921066716,0,0.02308476321243787,0,2.9123525540438995,0,0
12968,0,-0.054694487289821236,0,1.0781817092019204,0,0.03181138059888668,1,4.622117313768656,1,0
