Code,float_gauss1_core_min,float_gauss1_core_std,float_gauss2_core_min,float_gauss2_core_max,float_gauss2_core_mean,float_gauss2_core_std,float_repulsion_core_min,float_repulsion_core_max,float_repulsion_core_mean,float_repulsion_core_std,float_hydrophobic_core_max,float_hydrophobic_core_mean,float_gauss1_shell1_min,float_gauss2_shell1_max,float_gauss2_shell1_std,float_repulsion_shell1_min,float_hydrophobic_shell1_max
4169,-8.5418396,0.4684831798,-468.1312256,0.8935700059,-0.4405263662,12.80561352,-1.188748956,1.367462993,-0.002480314346,0.06688609719,6.182209969,0.01905461401,-6.788730145,1.475119948,4.66092205,-1.537348986,2.437973976
4420,-8.639229774,0.4705081582,-190.3204193,1.85909605,-0.4717356563,8.404543877,-2.613883972,0.3721030056,-0.005915656686,0.1047467068,6.071320057,0.01903604716,-7.120739937,1.475119948,1.040326595,-1.41384995,2.402254105
4618,-8.494859695,0.4743176103,-407.4942322,0.8935700059,-0.7878645062,14.49686909,-3.476569891,0.1581870019,-0.006878830492,0.1160748601,5.839479923,0.01846045256,-7.125040054,1.475119948,2.707489491,-1.382048965,2.545208931
4690,-8.639369965,0.4737121165,-389.3572388,1.404690027,-0.4337456822,11.00749874,-2.750381947,1.122280002,-0.005667619407,0.1098400354,6.332600117,0.01854036003,-7.035850048,1.475119948,3.923523664,-1.480605006,2.497816086
4790,-8.703410149,0.4761707783,-256.62323,0.8935700059,-0.6743329763,11.7217083,-1.524497986,1.851935983,-0.002690021181,0.08854799718,6.039090157,0.01832355559,-7.22424984,1.475119948,2.144118071,-1.503646016,2.424510956
4794,-8.614959717,0.4784888923,-162.8902283,0.8935700059,-0.1958956718,4.803586483,-4.893909931,0.5102350116,-0.008978075348,0.1799534857,6.334630013,0.01982588507,-6.920899868,1.475119948,0.9178516865,-1.34996295,2.621304989
4928,-8.822859764,0.480067879,-275.3346558,0.8935700059,-0.7156664729,12.36507225,-3.527789116,0.1581870019,-0.007635159418,0.1226579398,6.522029877,0.01875620708,-7.413619995,1.475119948,2.007094383,-1.279795051,2.364078045
4929,-8.812390327,0.4796977341,-324.803833,0.8935700059,-0.8196709156,14.15361595,-3.114820004,0.8121340275,-0.005848594476,0.114007391,6.208469868,0.01842608117,-7.01320982,1.475119948,0.9833529592,-1.516620994,2.470463037
4931,-8.750909805,0.4768865108,-276.9682312,0.8935700059,-0.5223178864,10.08555794,-3.441006899,0.2262839973,-0.006034590304,0.1133311242,5.674330235,0.01815770939,-7.05343008,1.475119948,0.5429054499,-1.525596023,2.327610016
4936,-8.564880371,0.45630458,-336.7882385,0.8935700059,-0.5057927966,10.21591854,-2.330012083,2.400135994,-0.003889946733,0.1100263745,6.580410004,0.01953217015,-6.751299858,1.475119948,3.330462456,-1.678218007,2.574421883
4944,-8.659669876,0.4835562706,-215.0962372,0.8935700059,-0.2858880758,6.275753975,-2.945723057,0.1581870019,-0.006933845114,0.1106934696,6.71807003,0.02081421018,-6.790380001,1.475119948,1.537217855,-1.49860096,2.66071701
5216,-7.627190113,0.4498669803,-449.2452393,0.8935700059,-0.8824984431,15.15670776,-3.183876038,0.1776719987,-0.00607704604,0.1051893234,6.198740005,0.01986306906,-6.784359932,1.475119948,4.538294792,-1.464514971,2.631818056
5383,-8.633270264,0.4778473079,-566.3062134,0.8935700059,-0.9244151115,18.63986778,-1.342399001,1.378046989,-0.001927039586,0.0686326921,6.419300079,0.01912829839,-7.155789852,1.475119948,4.914214134,-1.509956956,2.456806898
5430,-8.785889626,0.5119152069,-249.2212372,1.448099971,-0.4406681955,8.368567467,-5.508739948,0.3308880031,-0.01307772007,0.233813718,6.167349815,0.0180083029,-7.16906023,1.475119948,2.331045866,-1.414055943,2.422051907
5455,-8.856531143,0.4840970039,-121.5639038,1.823292971,-0.2626754642,5.511483669,-1.932227015,0.2763490081,-0.004793467466,0.08003666997,6.235839844,0.01874498278,-7.04885006,1.475119948,0.9845007062,-1.28666997,2.352627039
5543,-8.903072357,0.4781559706,-478.8762207,1.967123032,-0.6907225251,14.62580585,-4.324639797,0.1853100061,-0.00899923034,0.1711911112,5.278719902,0.01731550694,-6.970180035,1.475119948,4.085767269,-1.515889049,2.413008928
5794,-8.727199554,0.4748251438,-478.5612183,1.714758039,-0.5736264586,13.84156609,-4.48239994,0.2071630061,-0.006312653422,0.1330876648,6.113749981,0.0181650091,-7.131030083,1.475119948,4.317351341,-1.674695969,2.422091007
5853,-8.823860168,0.4952107072,-332.5336609,0.8935700059,-0.829256475,14.50541592,-3.209948063,0.1581870019,-0.006621479057,0.1079702824,6.541759968,0.01936281845,-7.172880173,1.475119948,1.969896436,-1.605420947,2.327610016
5859,-8.077260017,0.4476501048,-392.2522278,0.8935700059,-0.9316380024,17.08024216,-1.527739048,2.575086117,-0.001019212534,0.09702882171,6.585490227,0.01985767297,-6.758240223,1.475119948,3.126737833,-1.410464048,2.497315884
6129,-8.563810349,0.4675854445,-400.1312256,1.801447034,-0.670835793,13.90456009,-4.564670086,0.2580409944,-0.008769161999,0.1721499413,5.753280163,0.01808540337,-6.579589844,1.475119948,3.845192194,-1.589413047,2.686640024
6758,-8.660730362,0.4871515334,-515.8182373,4.041567802,-0.9806975722,19.34757233,-3.639869928,0.170450002,-0.007957107387,0.1348647624,8.068267822,0.02208576351,-6.47040987,1.475119948,5.142989159,-1.575713038,2.638892889
6795,-8.707839966,0.4754281342,-155.3718262,0.8935700059,-0.43215698,6.782533169,-2.893292904,0.4867059886,-0.005539646838,0.1056760699,5.368850231,0.01820378937,-6.988210201,1.475119948,0.4167429209,-1.535169005,2.594360113
6805,-8.646900177,0.4640309215,-445.8892212,0.8935700059,-0.7483450174,14.71542072,-3.810640097,3.022965908,-0.005829005502,0.1718609631,5.238729954,0.01675439626,-7.013790131,1.475119948,3.97311759,-1.580026031,2.58909297
7153,-8.706589699,0.4795123339,-310.2918396,2.189446926,-0.6096080542,11.48983479,-1.544260025,0.8355519772,-0.00363729638,0.07391397655,6.821239948,0.01903919317,-7.048820019,1.475119948,0.6927970648,-1.482292056,2.423254013
7204,-8.532170296,0.4707916677,-379.4328308,0.8935700059,-0.7968910933,13.8767395,-5.492949963,0.1581870019,-0.01075866446,0.2117378414,6.124690056,0.01868231967,-7.125189781,1.475119948,1.718047142,-1.576169014,2.345875025
7430,-8.717840195,0.480320394,-634.847229,2.823709965,-0.9144957662,19.84521484,-2.004120111,0.9456239939,-0.004898300394,0.0929087773,6.672800064,0.01913694106,-6.850540161,1.475119948,6.103060722,-1.523563027,2.605000019
8594,-8.773209572,0.4769634306,-323.0822449,2.201603889,-0.5914920568,10.90541935,-1.26878798,0.6885899901,-0.002585727489,0.06211683527,6.236120224,0.01789923199,-6.621119976,1.475119948,2.439179659,-1.544852018,2.582989931
8606,-8.552669525,0.4944835603,-242.0408325,0.8935700059,-0.7282887697,12.25941181,-3.071877956,0.1581870019,-0.00609137211,0.1053647771,6.601150036,0.01806584001,-8.843349457,2.076539993,0.03390525281,-1.483827949,2.327610016
9411,-8.952681541,0.4824958146,-331.5228271,2.215161085,-0.6995931864,12.3915329,-3.723560095,0.6965399981,-0.00641817553,0.1269500405,6.502220154,0.01914455183,-7.054140091,1.475119948,1.331788421,-1.36630404,2.400563002
9502,-8.745389938,0.4796697497,-388.5342407,1.820454001,-0.6472448707,12.3309679,-1.317847967,4.601429939,0.002765229438,0.1506316364,6.127960205,0.01837111078,-7.06648016,1.475119948,3.592462778,-1.490043044,2.49545002
11442,-8.844229698,0.4962992966,-550.0492554,4.052255154,-0.4941785038,15.01247311,-2.938374996,0.1581870019,-0.007029881235,0.1183029115,8.044345856,0.0208974909,-6.601059914,1.475119948,5.245776653,-1.337278962,2.586344957
12901,-8.671349525,0.4726293385,-463.7342224,0.8935700059,-0.6638485789,13.61176491,-2.317859888,1.965396047,-0.005255940836,0.1180920377,5.800030231,0.01824368536,-6.949769974,1.475119948,4.140256405,-1.407209039,2.342730999
12932,-8.520059586,0.4772832096,-248.547226,0.8935700059,-0.3279810548,7.244257927,-6.114349842,0.1687909961,-0.01053827442,0.2090953439,6.210869789,0.01878952421,-7.193039894,1.475119948,2.236860991,-1.579023004,2.327610016
12968,-8.741330147,0.494335711,-214.6418304,4.042130947,-0.3669015169,7.719382286,-2.627546072,2.361465931,-0.00338392565,0.1125788912,8.112911224,0.02161270566,-7.170650005,1.475119948,0.7973152399,-1.542209983,2.535763979
13709,-8.605489731,0.474948734,-297.8789062,0.8935700059,-0.8440213203,12.74870968,-6.78151989,0.1581870019,-0.01142995898,0.2169438154,5.895030022,0.01731641032,-7.057660103,1.475119948,0.8539931178,-1.45184505,2.462373018
13745,-8.695839882,0.4659435451,-502.7452393,0.8935700059,-0.6832916737,15.2357645,-5.092870235,0.4321640134,-0.01014319155,0.2014661133,5.574150085,0.01727124117,-7.029610157,1.475119948,5.184577465,-1.544685006,2.515964985
14337,-8.646160126,0.479824245,-541.8592529,2.073260069,-0.5826706886,15.21728992,-3.263978958,3.400346041,-0.004513926804,0.1516941637,6.355380058,0.01922257617,-6.909249783,1.475119948,4.939851284,-1.517276049,2.489666939
15531,-8.287879944,0.4565504491,-443.103241,1.351452947,-0.776147902,16.06317329,-1.328084946,0.3030000031,-0.003144475166,0.06371808052,5.527900219,0.01704056188,-7.1291399,1.475119948,4.193977833,-1.58919704,2.441239119
15546,-8.741999626,0.4747613668,-241.6222229,0.8935700059,-0.5290544033,9.009949684,-1.690011024,1.646016002,-0.002504290082,0.08364976943,6.503930092,0.01841121353,-7.069149971,1.475119948,2.23676753,-1.448536992,2.421895027
15553,-8.730569839,0.5001132488,-392.8792419,4.040522099,-0.453455478,11.21987057,-2.636115074,2.552645922,-0.004362021573,0.1190741435,7.918708801,0.0212083105,-7.208570004,1.475119948,3.371271849,-1.490826011,2.43020606
